TIC_ID|GDR2_ID|GDR2_RA|GDR2_DEC|TLC|mas_parrallax|g_mag|bp-rp|probability|age_myr|age_err_lower|age_err_upper|Distance|absolute_mag|cadences|tic_id_corrected|ecl_lat|ecl_lon|gal_lat|gal_lon
TIC_21854564|5336159388291513984|171.7452|-59.5799|22|10.64|14.4|2.9|0.68|18.3|5.3|6.0|93.98496241|9.534708139703078|1800|451557694|-55.094334802183674|208.87001187293936|1.5568129338985373|292.41858111286376
TIC_49697514|4060162327281216896|265.0994|-28.9482|22|10.95|12.4|2.2|0.14|19.4|24.4|5.2|91.32420091|7.597070595957774|No TESS data found|202028780|-5.582166070383254|265.6885854726022|0.9655541729019361|359.3890584448336
TIC_127382640|6802914634188177792|318.3443|-25.865|-1|10.47|13.7|2.6|0.13|24.4|36.2|5.8|95.51098376|8.799733408465436|600,1800|289950127|-9.343604833099961|312.94502059454976|-41.59012455134759|21.35589344307706
TIC_225477886|3117119626573314176|97.4603|-2.7969|-1|24.18|12.4|2.9|0.87|19.0|6.5|5.3|41.35649297|9.317281482592064|120,600,1800|43149283|-26.021552606294133|98.29367631664884|-6.078611016395629|212.96496283236075
TIC_50745311|3216753556349327232|83.0249|-3.0213|-1|26.07|13.9|3.3|0.24|44.4|21.9|14.7|38.35826621|10.980705155636008|600,1800|50745533|-26.27258393775007|82.22365577087017|-19.001438187654617|206.39781575111692
TIC_399624509|6421526932786147584|286.5625|-68.5768|-1|14.25|14.0|3.4|1.0|5.1|1.7|1.8|70.17543859999999|9.769074321614072|120,600,1800|382248311|-45.62927496497722|278.5588248651619|-26.453650015402328|326.9558778247534
TIC_256168939|6067196013523931264|199.4837|-54.9282|22|11.97|14.5|3.0|0.26|22.3|5.4|5.3|83.54218881|9.890470751911105|120,600,1800|256168939|-42.427941711421276|222.7831769650702|7.7460922907611485|306.7675841652892
TIC_162085246|6077824373954815744|189.0565|-53.0258|22|10.12|14.3|2.9|0.94|14.2|2.4|4.4|98.81422925|9.325902562497188|120,600,1800|260778617|-44.05297189077489|214.26176105549047|9.77741101239824|300.6119606798865
TIC_204872581|5400050222210919680|165.9648|-37.1968|-1|11.77|15.9|3.4|0.27|39.8|14.2|9.2|84.9617672|11.253882314338776|600,1800|29847084|-39.16168554270436|184.67428932970242|20.890716516927693|280.24590995586294
TIC_203441455|5550292541911149312|95.6507|-49.9406|-1|17.28|14.6|3.4|0.24|33.1|6.5|7.0|57.87037037|10.78771869072827|120,600,1800|255551163|-73.13247383586871|102.61089919251758|-24.88985598330655|258.1935363727824
TIC_469378113|5848684638927564288|224.1583|-66.3951|22|12.47|13.2|2.6|0.33|21.6|23.2|2.1|80.19246191|8.679332267354276|600,1800|259726904|-46.86569944723983|245.1508968785633|-6.506669385379902|315.01743557962936
TIC_383523088|1221639473814483584|232.5398|23.8006|-1|10.66|14.0|2.7|0.16|24.7|18.0|7.7|93.80863039|9.138786023545272|1800|345587269|41.234913283954846|222.26525552625043|54.16581972585326|36.66040481469007
TIC_69294937|6764421281858414208|292.5166|-29.6593|22|16.6|13.2|2.9|0.96|15.2|3.8|5.8|60.24096386|9.300540440035244|120,600,1800|169385570|-7.741098513251739|289.61967372445656|-20.816508610865082|9.350843716774099
TIC_53403679|2921830040605025408|102.7805|-24.9264|-1|14.38|12.6|2.4|0.12|22.2|13.5|2.8|69.54102921|8.388794430147895|600,1800|53406861|-47.60066910316125|107.30434752930849|-11.144764135723308|235.3720171051054
TIC_464773812|3258904708988843264|61.6446|2.0619|-1|11.56|13.9|2.7|0.17|25.2|17.2|6.9|86.50519031|9.214789170458165|120,600,1800|464781450|-18.470375436013164|59.96906416316663|-34.72331542240004|189.08708174226035
TIC_23507468|3478940625208241920|174.8905|-30.6669|22|20.52|13.4|3.2|1.0|12.5|3.1|3.1|48.73294347|9.96088678218934|120,600,1800|57830249|-29.89614986122826|188.7943631015149|29.709889867821683|285.14254807386004
TIC_68453448|2238433364362198400|295.04200000000003|58.35|-1|11.08|15.9|3.3|0.26|41.4|31.6|10.9|90.25270758|11.122698801991588|120,1800|287132854|75.96053868619691|336.2832122352687|16.834912425277846|90.52843193094748
TIC_184112718|5768168398818832896|245.3735|-84.2448|22|11.45|14.9|3.3|1.0|15.5|2.9|5.1|87.33624454|10.19402743341645|1800|290556917|-61.234567615583686|265.01469286436554|-23.538979192065707|307.91108005720145
