TIC_ID,GDR2_ID,GDR2_RA,GDR2_DEC,TLC,mas_parrallax,g_mag,bp-rp,probability,age_myr,age_err_lower,age_err_upper,Distance,absolute_mag
TIC_62261894,389130122988932480,7.7589,46.3206,-1,11.56,14.3,2.9,0.45,22.6,5.6,6.6,86.50519031,9.614789170458163
TIC_19459453,2937373626029726848,97.2778,-21.5141,-1,14.32,14.9,3.3,0.83,25.1,4.0,6.3,69.83240223,10.67971509000337
TIC_67283884,5397574190745629312,171.7136,-38.4154,22,14.53,13.0,2.8,1.0,10.0,2.6,3.5,68.82312457,8.811328071485548
TIC_452390286,3403730971851323392,83.0012,21.8656,-1,11.18,14.7,3.1,0.94,20.8,5.7,4.8,89.44543828,9.942209017816298
TIC_333825856,6188481217027153536,202.5413,-27.6907,22,10.95,13.4,2.7,0.69,15.1,5.8,1.1,91.32420091,8.597070595957774
TIC_453075745,3308700559817832064,72.0108,14.6641,18,11.91,15.0,3.2,0.3,27.4,10.6,5.8,83.96305626,10.379558807290982
TIC_429882742,4609188615204774656,266.9082,36.8741,-1,14.92,14.8,3.3,0.41,29.3,9.3,7.0,67.02412869,10.668844115564257
TIC_355281868,5645278183210494208,129.6001,-29.5839,-1,15.23,12.9,2.6,0.12,23.7,118.8,3.1,65.65988181,8.81349951675339
TIC_386302738,3389908598860532224,81.9336,14.7661,18,10.68,15.1,3.1,0.83,20.5,5.5,3.8,93.6329588,10.242856263497432
TIC_68565222,4045872769346304896,273.7537,-32.0324,22,13.72,15.5,3.7,1.0,16.0,4.5,4.6,72.88629738,11.186770556737274
TIC_55761099,6039071021479123456,243.7585,-28.9008,22,10.59,15.4,3.3,0.99,16.8,2.5,4.1,94.42870633,10.524479800462077
TIC_205051339,4684088451096037120,4.2202,-76.682,-1,10.79,15.5,3.4,0.97,22.6,3.0,5.4,92.67840593,10.665107223447777
TIC_283685379,3401521984270894464,81.3139,19.2868,-1,16.75,14.6,3.2,0.48,30.4,12.5,7.2,59.70149254,10.720074056766604
TIC_310706312,3401443472268076160,79.9038,18.9974,-1,14.82,14.0,3.0,0.46,20.3,5.1,3.8,67.47638327,9.85424101808322
TIC_40244061,5542245319397657472,128.0846,-36.998000000000005,-1,10.76,14.1,2.8,0.52,18.5,4.4,5.7,92.93680297,9.259061356744793
TIC_241483053,137765753240018816,46.9031,34.5101,-1,13.99,15.1,3.2,0.19,38.0,18.5,7.2,71.47962831,10.82908857233558
TIC_45048465,36369611263901824,55.6318,10.8761,-1,10.09,13.8,2.6,0.49,18.2,5.7,4.2,99.10802775,8.819455831189982
TIC_17518120,2539039637235225088,15.5117,2.2292,-1,11.91,14.9,3.0,0.2,29.0,22.5,10.5,83.96305626,10.279558807290982
TIC_410870658,3314597408180024960,66.9972,18.759,-1,19.04,13.0,2.7,0.22,31.3,23.3,15.4,52.52100840000001,9.398334720381252
TIC_46631267,5313934959706088320,142.5742,-49.461000000000006,-1,11.23,14.4,2.9,0.48,21.2,7.4,5.4,89.04719501,9.651898781389152
TIC_52395253,369714671786198784,16.1012,37.7551,-1,11.0,13.7,2.7,0.37,19.3,7.1,3.7,90.90909091,8.90696342576941
TIC_379593793,5123066097663430016,34.2288,-23.3704,-1,13.72,12.7,2.7,1.0,7.3,3.6,2.5,72.88629738,8.386770556737273
TIC_7454201,6217234476890421120,222.2448,-32.4025,22,10.13,14.9,3.0,0.4,24.3,5.8,7.1,98.71668312,9.928047226789245
TIC_59890166,4062181103693026048,263.9475,-25.4934,22,10.92,15.6,3.3,0.55,25.7,6.7,8.5,91.57509158,10.7911131917272
TIC_52666227,3253241330752428160,59.8306,-1.7638,-1,10.63,13.3,2.6,0.48,14.2,3.5,4.0,94.07337723,8.432666322714418
TIC_12659336,6237002699525087488,238.947,-24.0258,22,11.24,16.5,3.9,1.0,16.9,5.2,2.0,88.96797153,11.753831556171292
TIC_208317834,6237026442104496768,238.751,-23.7525,22,11.2,14.0,3.0,1.0,9.6,2.4,3.2,89.28571429,9.246090113246677
TIC_159938752,5921821644117633152,266.1774,-53.2634,22,18.74,12.9,2.8,0.42,19.6,4.0,4.1,53.36179296,9.263847932605929
TIC_250665411,2508283921888998656,30.4452,1.2876,-1,20.17,12.0,2.5,0.37,16.9,6.6,4.5,49.57858205,8.523529491175658
TIC_122680372,2508283926184235264,30.4458,1.2848,-1,20.25,11.9,2.5,0.41,17.0,3.7,3.3,49.38271605,8.432125137726294
