time,flux,flux_err,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
1543.3277038609358,nan,nan,4.2802119e-03,15161,nan,nan,nan,nan,nan,nan,nan,nan,100000000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1543.348537656494,nan,nan,4.2806827e-03,15162,nan,nan,nan,nan,nan,nan,nan,nan,100000000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1543.369371455312,nan,nan,4.2811567e-03,15163,nan,nan,nan,nan,nan,nan,nan,nan,100000000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1543.556875775058,nan,nan,4.2855535e-03,15172,nan,nan,nan,nan,nan,nan,nan,nan,100000000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1543.5777096004185,nan,nan,4.2860541e-03,15173,nan,nan,nan,nan,nan,nan,nan,nan,100000000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1543.5985434281079,nan,nan,4.2865570e-03,15174,1438.62264,1479.25636,2.0960812e+04,7.9116249e+00,3.5192348e+04,4.4985046e+00,nan,nan,1000000000000,nan,nan,nan,nan,1438.62264,2.7415931e-04,1479.25636,3.1176439e-04,2.1552747e-02,4.0379435e-02
1543.6193772571937,nan,nan,4.2870613e-03,15175,1438.62406,1479.25675,2.1006781e+04,6.5064163e+00,1.9806820e+04,3.3942394e+00,nan,nan,1000000000000,nan,nan,nan,nan,1438.62406,2.2106282e-04,1479.25675,2.5026829e-04,2.2369780e-02,4.0514696e-02
1543.6402110881422,nan,nan,4.2875675e-03,15176,1438.62271,1479.25735,2.0998102e+04,6.1418185e+00,1.6307870e+04,3.0900345e+00,nan,nan,1000000000000,nan,nan,nan,nan,1438.62271,2.0739441e-04,1479.25735,2.3445510e-04,2.0444766e-02,4.0252354e-02
1543.6610449209536,nan,nan,4.2880755e-03,15177,1438.62471,1479.25768,2.0988268e+04,5.9659767e+00,1.4708062e+04,2.9374785e+00,nan,nan,1000000000000,nan,nan,nan,nan,1438.62471,2.0078330e-04,1479.25768,2.2668215e-04,2.3749072e-02,4.1245010e-02
1543.6818787556276,nan,nan,4.2885854e-03,15178,1438.62419,1479.25841,2.0993664e+04,5.8281698e+00,1.3474376e+04,2.8158894e+00,nan,nan,1000000000000,nan,nan,nan,nan,1438.62419,1.9545235e-04,1479.25841,2.2059634e-04,2.2097040e-02,4.2304255e-02
