time,flux,flux_err,cadenceno,sap_flux,kspsap_flux,kspsap_flux_err,quality,orbitid,sap_x,sap_y,sap_bkg,sap_bkg_err,kspsap_flux_sml,kspsap_flux_lag
1624.9730615615615,0.5188217163085938,0.03066716529428959,19080,0.5188217,0.9735646,0.030667165,4096,31,1309.833251953125,1718.8961181640625,-4093.47,3104.56,0.976799,0.9752182
1624.9938954123256,0.5860326886177063,0.03066716529428959,19081,0.5860327,1.0024475,0.030667165,4096,31,1309.832763671875,1718.8966064453125,-3776.75,3218.39,1.0023682,0.99978745
1625.0147292622619,0.6354594230651855,0.03066716529428959,19082,0.6354594,0.99503905,0.030667165,4096,31,1309.8316650390625,1718.8951416015625,-4275.88,3618.9,1.000297,0.992193
1625.035563111445,0.6967061758041382,0.03066716529428959,19083,0.6967062,1.0028923,0.030667165,4096,31,1309.8311767578125,1718.8944091796875,-3493.7,2931.79,1.0052037,1.0020126
1625.0563969600603,0.745847761631012,0.03066716529428959,19084,0.74584776,0.9912104,0.030667165,4096,31,1309.830322265625,1718.894775390625,-2985.07,3892.67,0.990301,0.9936102
1625.0772308081553,0.8362836241722107,0.03066716529428959,19085,0.8362836,1.0305248,0.030667165,4096,31,1309.82958984375,1718.8934326171875,-3506.23,3001.3,1.0237547,1.0296336
1625.0980646559067,0.8823137283325195,0.03066716529428959,19086,0.8823137,1.0125474,0.030667165,4096,31,1309.8284912109375,1718.893798828125,-3631.78,2921.48,1.0070065,1.0116708
1625.1188985033511,0.9575532674789429,0.03066716529428959,19087,0.95755327,1.0279204,0.030667165,4096,31,1309.827880859375,1718.8929443359375,-3819.48,2829.91,1.0302742,1.0212911
1625.139732350649,0.9909785389900208,0.03066716529428959,19088,0.99097854,0.99954337,0.030667165,4096,31,1309.826904296875,1718.89404296875,-4071.14,2901.08,0.9991817,0.99894476
1625.1605661978153,1.025004267692566,0.03066716529428959,19089,1.0250043,0.97579914,0.030667165,4096,31,1309.8270263671875,1718.892578125,-4875.75,3015.42,0.98514926,0.9767939
1625.1814000450029,1.0985726118087769,0.03066716529428959,19090,1.0985726,0.9915988,0.030667165,4096,31,1309.826416015625,1718.896484375,-6175.63,3792.78,0.9936076,0.9904906
1625.2022338922113,1.128171682357788,0.03066716529428959,19091,1.1281717,0.9699515,0.030667165,4096,31,1309.8250732421875,1718.89453125,-5643.08,3740.73,0.9691893,0.97169113
1625.223067739578,1.1982733011245728,0.03066716529428959,19092,1.1982733,0.98585474,0.030667165,4096,31,1309.8253173828125,1718.89208984375,-4715.55,3697.52,0.9978135,0.98188466
1625.2439015870893,1.2530661821365356,0.03066716529428959,19093,1.2530662,0.9911677,0.030667165,4096,31,1309.82568359375,1718.894287109375,528.0,3977.69,0.9876463,0.9922121
1625.2647354348715,1.2571790218353271,0.03066716529428959,19094,1.257179,0.96059376,0.030667165,4096,31,1309.82568359375,1718.8973388671875,9686.0,2958.35,0.9585759,0.9662296
1625.2855692828991,1.310123324394226,0.03066716529428959,19095,1.3101233,0.9716177,0.030667165,4096,31,1309.8253173828125,1718.894287109375,17071.94,3076.24,0.9828217,0.9685553
1625.3064031312858,1.3381844758987427,0.03066716529428959,19096,1.3381845,0.9677772,0.030667165,4096,31,1309.8258056640625,1718.8939208984375,30283.63,2747.66,0.97233915,0.97151446
1625.3272369799993,1.3912442922592163,0.03066716529428959,19097,1.3912443,0.9855206,0.030667165,4096,31,1309.827392578125,1718.894775390625,45014.8,3760.31,0.9870765,0.98589116
1625.3480708291386,1.4015908241271973,0.03066716529428959,19098,1.4015908,0.97656053,0.030667165,4096,31,1309.82861328125,1718.8931884765625,58452.67,4315.17,0.9838012,0.9769209
