,ID,Top_Period,Top_Period_Power,Fap_99,Is_Harmonic,Num_Flares,Is_Powerlaw
0,334524122,3.2922781656461484,0.8637644717186046,0.0023440790742049,False,44,True
1,140045538,1.1242086015576913,0.7255953662951129,0.00185862864097526,False,83,False
2,266744225,2.7783990620338272,0.9632145698934458,0.0020455143720232113,False,104,True
3,36124955,1.8871624984060809,0.877110261596076,0.0021066552504091078,False,36,True
4,593228,6.092578903247732,0.1610276368198042,0.001972180922778502,True,18,True
5,178246933,2.7703947525892207,0.7464553691209125,0.009491118131992918,True,33,True
6,206605718,2.339278087521884,0.6438434755032652,0.0026283117347601385,False,25,True
7,206605715,1.0767487926491053,0.5193010886930326,0.0026788506104960686,False,22,True
8,165818534,3.3741735113352003,0.7532227237776987,0.0020194104584841223,False,58,True
9,206327797,0.11197214028553995,0.8781478372221739,0.0018405511155665563,False,332,False
10,269077806,2.0938331337783596,0.8992045346870869,0.001955788772537967,False,18,True
11,192543856,4.808280865932375,0.3842637899440684,0.002139971584971524,False,19,True
12,311092148,0.32770091931535344,0.49917162486516486,0.002067051870003911,True,96,True
13,343648067,1.0853360545785693,0.16152367007698845,0.0017459602243351164,True,7,True
14,455029978,0.889915165827454,0.6578996101372279,0.0019490369092564706,True,17,True
15,144282456,0.2997451170024917,0.8487780954359332,0.002033963988434894,False,9,True
16,395130640,0.4125146650173434,0.8311368296609098,0.0022507813992160694,False,7,True
17,257048637,0.7627849386825665,0.1201848425301359,0.0019822759593310637,False,13,True
18,80033631,6.403709619214356,0.008355020562848687,0.0022966693299494344,False,20,True
19,24452802,1.5416007891709558,0.5055551923475634,0.0019546956122736604,False,7,True
20,220617943,0.2918441722778497,0.7825577906715437,0.0019550908588127133,False,2,
21,326907507,4.951727831381895,0.6754149215191398,0.008302098321744915,True,4,True
22,186779497,2.111117434540539,0.7129479522993162,0.0025534887659082114,True,12,True
23,118807628,1.6342394385267143,0.8662568648339508,0.0017396505820494932,True,30,True
