time,flux,flux_err,cadenceno,sap_flux,kspsap_flux,kspsap_flux_err,quality,orbitid,sap_x,sap_y,sap_bkg,sap_bkg_err,kspsap_flux_sml,kspsap_flux_lag
2115.8906037502175,0.955500602722168,0.0018703973619267344,127933,0.9555006,0.9998975,0.0018703974,4096,67,1042.05224609375,890.299072265625,-274.64,230.23,0.999326,0.99945533
2115.897548440182,0.9541142582893372,0.0018703973619267344,127934,0.95411426,0.99861795,0.0018703974,22528,68,1042.0535888671875,890.2965698242188,-283.54,247.89,0.9993863,0.99753207
2115.9044931301496,0.953510046005249,0.0018703973619267344,127935,0.95351005,0.998154,0.0018703974,4096,0,1042.0550537109375,890.2977905273438,-289.58,324.14,0.99882036,0.9966949
2115.911437820117,0.9564468860626221,0.0018703973619267344,127936,0.9564469,1.0013944,0.0018703974,4096,0,1042.05517578125,890.2999877929688,-286.53,241.45,1.0007602,1.0010641
2115.9183825100845,0.9552858471870422,0.0018703973619267344,127937,0.95528585,1.0003417,0.0018703974,4096,0,1042.05615234375,890.301513671875,-268.93,327.55,0.9989219,1.0010098
2115.925327199008,0.9523086547851562,0.0018703973619267344,127938,0.95230865,0.9973832,0.0018703974,4096,0,1042.05712890625,890.2980346679688,-257.55,317.33,0.99936813,0.99571764
2115.932271887035,0.9540242552757263,0.0018703973619267344,127939,0.95402426,0.999336,0.0018703974,4096,0,1042.0567626953125,890.3018798828125,-257.69,273.97,0.9997079,0.9982593
2115.939216575059,0.9613870978355408,0.0018703973619267344,127940,0.9613871,1.0072023,0.0018703974,6144,0,1042.0518798828125,890.30908203125,-279.83,287.47,1.000404,1.020731
2115.9461612630867,0.9680379629135132,0.0018703973619267344,127941,0.96803796,0.9664873,0.0018703974,4096,0,1042.04833984375,890.3220825195312,-216.01,308.8,0.9678209,1.0805779
2115.953105951114,0.9570080637931824,0.0018703973619267344,127942,0.95700806,1.0029091,0.0018703974,6144,0,1042.0565185546875,890.3033447265625,-357.03,239.22,1.0016913,1.00716
2115.9600506391403,0.9586412906646729,0.0018703973619267344,127943,0.9586413,1.004762,0.0018703974,4096,0,1042.0557861328125,890.3076171875,-279.41,276.71,1.0023725,1.0066034
2115.966995326131,0.96277916431427,0.0018703973619267344,127944,0.96277916,1.0092368,0.0018703974,6144,0,1042.052734375,890.3138427734375,-211.92,274.4,1.0007001,1.0293429
2115.973940012234,0.9554048180580139,0.0018703973619267344,127945,0.9554048,1.001639,0.0018703974,4096,0,1042.05712890625,890.3050537109375,-243.69,216.08,1.001216,1.0028191
2115.980884698336,0.9539300203323364,0.0018703973619267344,127946,0.95393,1.0002203,0.0018703974,4096,0,1042.056640625,890.3051147460938,-201.57,307.39,1.0008073,0.9995436
2115.98782938444,0.9520171880722046,0.0018703973619267344,127947,0.9520172,0.9983372,0.0018703974,4096,0,1042.058349609375,890.3045654296875,-226.96,332.17,0.99946463,0.99767965
2115.994774070543,0.9560133814811707,0.0018703973619267344,127948,0.9560134,1.0026459,0.0018703974,0,0,1042.0560302734375,890.3088989257812,-240.79,309.6,1.0010011,1.0039295
2116.001718756645,0.9538401365280151,0.0018703973619267344,127949,0.95384014,1.0004793,0.0018703974,0,0,1042.058837890625,890.3087158203125,-299.27,270.75,1.0004781,0.9991009
2116.0086634417266,0.953072190284729,0.0018703973619267344,127950,0.9530722,0.9997812,0.0018703974,2048,0,1042.0579833984375,890.306884765625,-260.04,284.16,1.0006049,0.99875605
2116.015608125932,0.9531150460243225,0.0018703973619267344,127951,0.95311505,0.99992806,0.0018703974,0,0,1042.0582275390625,890.3102416992188,-240.25,332.1,1.0000256,0.9982937
2116.0225528101337,0.954920768737793,0.0018703973619267344,127952,0.95492077,1.0019189,0.0018703974,0,0,1042.0584716796875,890.3101806640625,-280.53,246.56,1.0005863,1.0050191
2116.029497494338,0.9530856013298035,0.0018703973619267344,127953,0.9530856,1.0000838,0.0018703974,0,0,1042.05859375,890.3096923828125,-245.03,262.32,0.9997861,1.001453
2116.036442178542,0.9511969685554504,0.0018703973619267344,127954,0.95119697,0.9981864,0.0018703974,0,0,1042.0592041015625,890.3084716796875,-184.98,309.16,0.9998376,0.9969076
2116.043386862745,0.9520083069801331,0.0018703973619267344,127955,0.9520083,0.99911606,0.0018703974,0,0,1042.0582275390625,890.3110961914062,-269.98,294.71,0.9997307,0.9982669
2116.050331545946,0.9548733830451965,0.0018703973619267344,127956,0.9548734,1.0021951,0.0018703974,0,0,1042.05810546875,890.3143310546875,-290.21,274.28,1.0000031,1.0059779
2116.0572762282814,0.9522498250007629,0.0018703973619267344,127957,0.9522498,0.99950695,0.0018703974,0,0,1042.058837890625,890.3108520507812,-192.09,300.8,1.0007254,0.99819314
2116.0642209106168,0.9540254473686218,0.0018703973619267344,127958,0.95402545,1.0014297,0.0018703974,0,0,1042.0594482421875,890.3116455078125,-282.22,310.43,1.0009458,1.0043517
2116.0711655929526,0.9541339874267578,0.0018703973619267344,127959,0.954134,1.0015956,0.0018703974,18432,0,1042.0572509765625,890.316162109375,-334.97,252.17,1.0010161,1.002299
2116.0781102752885,0.9511417746543884,0.0018703973619267344,127960,0.9511418,0.9984995,0.0018703974,2048,0,1042.0594482421875,890.3104858398438,-256.3,292.58,0.99944144,0.99964494
2116.085054957625,0.9543538093566895,0.0018703973619267344,127961,0.9543538,1.0019094,0.0018703974,0,0,1042.0596923828125,890.3154907226562,-337.4,248.84,1.0003871,1.0056036
