DR2Name,RA_ICRS,DE_ICRS,Plx,Gmag,BPmag,RPmag,BP-RP
GaiaDR2117308441803136,045.32059988397,+00.90124821933,,20.5090,,,
GaiaDR2117308442534272,045.32075174143,+00.90117282797,-2.5561,19.5510,20.6789,18.0235,2.6555
GaiaDR2117304147161216,045.31799629035,+00.90077429663,0.2302,18.4403,18.9123,17.7818,1.1305
GaiaDR2117338506899712,045.33442968090,+00.90135599830,0.1971,19.6860,20.1924,19.1148,1.0776
GaiaDR2117475945856000,045.28813738268,+00.91065544763,0.4018,17.8800,18.3388,17.2130,1.1258
GaiaDR2117510305781248,045.31187954932,+00.90868213178,1.7032,19.8354,21.3162,18.5249,2.7913
GaiaDR2117548960702080,045.32650522484,+00.91251673336,2.3129,18.7965,20.3723,17.5317,2.8406
GaiaDR2117544667186560,045.31994074472,+00.91603742079,0.8221,18.5436,19.3563,17.5615,1.7948
GaiaDR2117548960701952,045.32074936534,+00.91626763998,0.9694,17.5156,18.2783,16.6615,1.6168
GaiaDR2117579025070976,045.29934372557,+00.91032723668,1.4892,15.7560,16.3775,15.0054,1.3722
GaiaDR2117617680179200,045.30127113140,+00.92243027781,,15.5682,16.1583,14.6900,1.4683
GaiaDR2117716464205696,045.21025149911,+00.86980701350,,20.7688,21.1370,19.5165,1.6204
