name,orbital_period,radius
Kepler-1000 b,120.0181272,0.425
Kepler-1002 b,4.33642933,0.153
Kepler-1003 b,3.55485691,0.159
Kepler-1004 b,5.28789787,0.56
Kepler-1005 b,6.49801525,0.134
Kepler-1006 b,19.76172042,0.137
Kepler-1007 b,5.18500207,0.128
Kepler-1008 b,12.43931193,0.114
